label_7network,DFC_Ex1,DFC_Ex2,DFC_Ex3,DFC_Ex4,DFC_Ex5,DFC_Ex6,DFC_Ex8,DFC_In1,DFC_In3,DFC_In4,DFC_PVALB,DFC_SST,DFC_End,DFC_Per,DFC_Ast,DFC_Oli,DFC_OPC,DFC_Mic
7Networks_RH_SomMot_14,0.0,0.0,0.0,0.211757444671823,0.105644426771473,0.115638193584532,0.123405719785212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100789398491371,0.427833793295771,0.0,0.0
7Networks_RH_SomMot_15,0.0,0.0,0.2227355701977905,0.0,0.146176850996831,0.1178249211964634,0.0845852897099905,0.0499665469396988,0.0,0.0,0.0904579739691119,0.0051131467648564,0.0204862741326888,0.0176285620189291,0.0,1.1511061608812423,0.0079868529997828,0.0
7Networks_RH_SomMot_16,0.0418865570652863,0.0415778314114495,0.1017551595974717,0.1320614753104858,0.0121078590196873,0.0471809348364577,0.0584905073757856,0.0387957774475866,0.0046298506174888,0.0150735677585607,0.1486150354678035,0.0461770958471629,0.0279416769719544,0.0067136457457449,0.0404677866404525,0.3732833401570245,0.0006250577255292016,0.0028501369922167
7Networks_RH_SomMot_17,0.0865581979627267,0.0,0.153689204589813,0.0,0.0,0.0,0.0115629252337326,0.0802430654948653,0.0,0.0,0.0,0.0931427028617338,0.0026589090640874,0.0194184637056846,0.0,0.57265074972417,0.0,0.0068328729273284
7Networks_RH_SomMot_18,0.07514653433199153,0.08364666726166882,0.15576460499541978,0.04957849183554869,0.13636355579704826,0.10238572745792666,0.050023114556604534,0.016468758309189944,0.02969552810572073,0.027269495292855744,0.1622327495957736,0.005712287114464636,0.02671077501705563,0.031343351863999225,0.11714767679799987,0.17614347047661147,0.01379606455176999,0.008329421836429771
7Networks_RH_SomMot_19,0.057974966485526525,0.19987259914826694,0.14924343505502474,0.18554121898011475,0.11807470369014705,0.036232480741177034,0.04276810128301883,0.009885962573999582,0.01287217009930662,0.029157003752566236,0.18978991480995955,0.0248148366699364,0.012685862551656501,0.01274415586623517,0.019696986236154075,0.2864032340872237,0.010040495976377795,0.029615178262245183
7Networks_RH_SomMot_20,0.1991062958467347,0.1143576570867467,0.1172058255058117,0.0780040782546532,0.2312190973398839,0.0613197969923516,0.0193192961496587,0.0197178627660322,0.0660213228142202,0.0407214698471531,0.0113655492757255,0.0526183035059175,0.0,0.0007282057841556625,0.0610960870136882,0.2002845428348142,0.0055787905326052,0.0
7Networks_RH_SomMot_21,0.0021837007943191,0.4042116298853628,0.0,0.0277082152002985,0.0851722640797435,0.0588531699082271,0.0355722002803481,0.0,0.032057388764072,0.0476462555632451,0.2062952410898152,0.0176331138669246,0.0174160459231432,0.008970073265399,0.0,0.3776103205974529,0.0,0.0396308500457579
7Networks_RH_SomMot_22,0.0,0.0645945391226595,0.0635949068181133,0.0,0.1039989974011677,0.1293058787510178,0.1030833360866011,0.0060640244645776,0.0,0.0258549658460518,0.2013194057902937,0.0217504663660976,0.0284783681307038,0.015147303730799,0.1970225651294682,0.2276260353208555,0.0011543839617447,0.0010651045188247
7Networks_RH_SomMot_23,0.0839115020139561,0.0920314018966724,0.1176337006440106,0.1732692358778187,0.0361885347755481,0.0216228652435395,0.0235392734867442,0.0067861066074381,0.0414147292250744,0.0182767368711078,0.1154922664931878,0.00018941669413672567,0.0052291356693977,0.0019008330424934,0.0,0.456998004927031,0.0,0.0148867366214583
7Networks_RH_SomMot_24,0.0,0.0,0.1580202307159563,0.0,0.3217478602792235,0.2029454638096695,0.0216123409167062,0.0,0.0,0.0227122165462232,0.0358632597380309,0.0041724537968479,0.0070258604999201,0.0267029511947803,0.0532491944337244,0.1706627868494145,0.0276073282721505,0.0
7Networks_RH_SomMot_25,0.0,0.0,0.0,0.0,0.0033960749030073,0.0559614094175432,0.0,0.0,0.063448081539155,0.0193444624546963,0.0,0.0,0.0144005431566873,0.0375291909328793,0.165281924500004,1.03314610122573,0.0,0.0
7Networks_RH_SomMot_26,0.0,0.0967405115881564,0.0767550230199352,0.0,0.2012223595687452,0.0282671293538659,0.0667267936297457,0.0,0.0054543691279608,0.0227020968577591,0.0971862936093266,0.0,0.0096091225082403,0.0097014780954301,0.106517369733944,0.6200002470520002,0.000918965419298796,0.0123625369742177
7Networks_RH_SomMot_27,0.0,0.0786121927316981,0.224773377323166,0.476043593458604,0.0,0.047376130463663,0.0459883190305728,0.0,0.0521601971704648,0.0567838039340778,0.205962962379671,0.0,0.0,0.0,0.0,0.0282510747847944,0.0,0.0
7Networks_RH_SomMot_28,0.12812685835893056,0.09489009752100552,0.11757265138599594,0.17585982725984992,0.0690493134972438,0.023822392372317085,0.020340397377229483,0.01177132850343637,0.030605717728483462,0.03245151095976172,0.13476006129602658,0.0081409215579829,0.015015210920182223,0.022514016902802768,0.12269850765785295,0.27103588178837545,0.012966376666261818,0.010593449170630105
7Networks_RH_SomMot_29,0.0,0.13128457923494724,0.09857437985146393,0.08319312073771909,0.06159917088806296,0.02769575489254598,0.027281564627490786,0.0004897845828613703,0.026802417072974642,0.04156750505896345,0.18855051848685683,0.0,0.02458012070252226,0.03125761849336052,0.11154557837856523,0.474076634339446,0.0030880655926898426,0.0028446116520855907
7Networks_RH_SomMot_30,0.0,0.0524642411129957,0.0,0.0,0.249608830123337,0.268314266499837,0.0,0.0,0.0,0.0,0.003848809896327,0.0,0.0,0.00052182674288233,0.338239372820042,0.281231310585033,0.0252461241498653,0.0
7Networks_RH_SomMot_31,0.0,0.055296769833376155,0.17043972433812393,0.0056834073286461395,0.1634681160381386,0.10488602293069965,0.05566302130206343,0.004795423409226493,0.007851807525233914,0.018338007778093045,0.15603725796511136,0.0,0.014225840905077858,0.026282266183395242,0.09242753205191445,0.3112138536697361,0.012210393849267986,0.0029252288826275234
7Networks_RH_SomMot_32,0.0,0.0,0.0,0.157428927202188,0.279459643146778,0.145070802173596,0.0289672877994021,0.0,0.0,0.0,0.0063020818660503,0.0,0.0,0.0,0.0,0.434937182308008,0.0,0.0111736454667689
7Networks_RH_SomMot_33,0.047321380566120286,0.1015021254036016,0.13784874170428307,0.0,0.08653628734225846,0.06123146513226069,0.03741436492800354,0.007380687766527113,0.02917809095242512,0.03803919824448623,0.20375942030945193,0.0,0.03211589459629976,0.04032335910588695,0.12943836866296365,0.33208771604187753,0.0,0.0
7Networks_RH_SomMot_34,0.0,0.0,0.0231422896105902,0.0,0.0,0.1135653672477007,0.0187313143656153,0.0,0.0,0.0,0.0,0.0,0.0025801212538264,0.0126086508699143,0.1498081223067345,0.931432422509537,0.0,0.0
7Networks_RH_SomMot_35,0.027565318912753933,0.09979312467345161,0.09325426736094904,0.11886891517331921,0.05192522001713517,0.03875470900666909,0.039299970403493964,0.01273846078300692,0.02278382787429382,0.02868184996123077,0.15572700913724372,0.007067983244472633,0.019094473497680536,0.022122046441715428,0.1109675497770017,0.445971465175531,0.014700416839178441,0.011481690471855393
7Networks_RH_SomMot_36,0.05091224213449602,0.12184198583295473,0.13995721003743825,0.0,0.17340878980075886,0.09343671828525349,0.03733123461067518,0.021740086651353827,0.004439149433769288,0.020650883251367144,0.1360746644718696,0.008877352756059748,0.010874301346296536,0.019730645501244374,0.09178058723353924,0.27543519055909566,0.01903414255899684,0.013456049166264375
7Networks_RH_SomMot_37,0.0649090405970237,0.3339018696110546,0.0,0.3180151404511703,0.1331776261576533,0.0394241826641156,0.0201166948531663,0.0,0.0263781537189716,0.0199363950421655,0.223930455278745,0.0,0.0019415313553409,0.0,0.0112992663069677,0.0090378639492525,0.0008832919308671934,0.0065525581675714
7Networks_RH_SomMot_38,0.0025137308728784,0.1576487294682473,0.1553346968588735,0.0,0.193913627750475,0.070525885931179,0.027904838018684,0.0014989906311463,0.0024053566580211,0.0407489405561112,0.1580830063656442,0.0,0.001744136543523,0.0048469492073786,0.1769215268114015,0.2341241262675144,0.0071953567638346,0.0044819545680611
7Networks_RH_SomMot_39,0.0,0.143562696370301,0.1482451577168332,0.0,0.0100142104126596,0.0601316484047586,0.074637492377275,0.0089854588711499,0.0307560774797674,0.0241743029102323,0.2437523726072467,0.0,0.0156061740093988,0.0142665516634663,0.0605335590353907,0.4170640891583557,0.0122669896809369,0.0
7Networks_RH_SomMot_40,0.0,0.471291944221184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127558988206337,0.507439032070696,0.0,0.0,0.011867437278516,0.0,0.268668542636178,0.0,0.0
7Networks_RH_DorsAttn_Post_1,0.3043374581164781,0.067511403838702,0.1053407219838538,0.1865036550810069,0.0843738358803964,0.034488925594278,0.0384824602400119,0.0107943970695522,0.0603422543052602,0.0422046238665516,0.0165299719893246,0.0052928834370931,0.0053821711530194,0.0043600342138109,0.0788707117975534,0.2245314589521719,0.0109416546571628,0.0029378590775205
7Networks_RH_DorsAttn_Post_2,0.19984346841396755,0.0900148357629875,0.08328941843553528,0.17350608710236015,0.14919220505675956,0.038052494822212284,0.03174361872211311,0.020383067502557965,0.038060717433558905,0.026478413023772605,0.023988300614086966,0.0114963589428566,0.0048227304573652974,0.004701762961679044,0.0713920665111024,0.1841554545525489,0.019939440733454238,0.0076090962529020275
7Networks_RH_DorsAttn_Post_3,0.18909000300670556,0.10186828932025263,0.10174164955422961,0.17688686837796383,0.0772448048228781,0.0,0.0515200819559783,0.02257932717402613,0.027385512847939997,0.025544431612057616,0.07473307104154146,0.014046564385593551,0.0057317942862062776,0.005795913450543404,0.033171060987824935,0.33765137833437275,0.006987547756171251,0.013211842651622438
7Networks_RH_DorsAttn_Post_4,0.3173177545986023,0.0206997282151906,0.1469924639186006,0.3576307013804503,0.0051701092973325,0.0,0.0,0.0,0.0823449151806294,0.0691015119379758,0.08640488953581,0.0,0.0,0.0,0.1051400980675243,0.1136539303810286,0.0,0.0
7Networks_RH_DorsAttn_Post_5,0.2145947567278613,0.18037102440931713,0.03242797843313995,0.19289599309109168,0.08338733185527805,0.0,0.0,0.011994735282848938,0.03631812916023382,0.03326966374900895,0.11140086473187613,0.007102246838486545,0.015532026230332428,0.007789554173221945,0.1027164607744868,0.23637835178303956,0.011616332479432435,0.011216173992258032
7Networks_RH_DorsAttn_Post_6,0.086181692345289,0.14848548978205217,0.15345062538115403,0.2085049281438435,0.1041880766702372,0.025778444948808918,0.04178734021247099,0.008544209439016175,0.019096040759442365,0.029791406606632844,0.15901972734668063,0.019086241589072545,0.00958170442705557,0.014533394681932642,0.04134970222929151,0.27665195491580924,0.010577125755215203,0.023459608384686515
7Networks_RH_DorsAttn_Post_7,0.18913891082997855,0.21825368836384546,0.06924283383404921,0.23465330223141473,0.09223290869552854,0.0,0.0,0.008450179530274639,0.024569424949117652,0.029437023476912107,0.1549545056706037,0.013876110651352549,0.013224496387535072,0.004518339910954029,0.059834811324677724,0.2176918576091484,0.008971967004653324,0.021888895838033825
7Networks_RH_DorsAttn_Post_8,0.598668881071388,0.2355324261409679,0.0,0.2637089172233,0.1956621635073625,0.0,0.0,0.0,0.064292157495995,0.0715019779963797,0.058945530838779,0.0386565962099142,0.0069399825283751,0.0,0.0,0.0,0.0,0.0
