label_7network,VIS_Ex1,VIS_Ex3,VIS_Ex4,VIS_Ex5,VIS_Ex6,VIS_Ex8,VIS_In1,VIS_In2,VIS_In3,VIS_In4,VIS_PVALB,VIS_SST,VIS_End,VIS_Per,VIS_Ast,VIS_Oli,VIS_OPC,VIS_Mic
7Networks_LH_Vis_14,0.0,0.0,0.3356836059768717,0.0,0.1246043222231982,0.0140821708782776,0.0,0.0486702018284898,0.0746504584773611,0.0073546090278056,0.040468380822791,0.0055662410736265,0.0994984467233627,0.0070323990160463,0.0593277899578452,0.6864723120679033,0.0558721672344956,0.0080516071938635
7Networks_LH_Vis_15,0.0338715568003383,0.4200865232871086,0.4227552245635522,0.0019514180865055,0.0524008422894854,0.0009256650211992167,0.0018844413406414,0.0258566334249537,0.037536014585607,0.0234764685196043,0.0824798645096758,0.0072276505252121,0.0571063759904605,0.0086418669341955,0.0497588530942158,0.1332053050002058,0.0182685525708424,0.0112955283157219
7Networks_LH_Vis_16,0.079148810269112,0.3598984170108775,0.4779165326815202,0.0829645047162637,0.033940884806424,0.007727828293619,0.00317944552074,0.0405538283005408,0.0026730752593977,0.0293775102995099,0.0464955473545998,0.0176004919706036,0.0081265060968743,0.000918079731743708,0.0,0.027756966798979,0.0049775151391961,0.0043363385310892
7Networks_LH_Vis_17,0.1290782867752232,0.1060065519747329,0.5096105122366976,0.08906609191758,0.0600504010463259,0.0,0.00383701646682,0.0381658442963132,0.0337377901977462,0.0177924265244763,0.0723453987872389,0.0048984845640545,0.0348492373886176,0.0019936700743475,0.0533441383720787,0.0978763835614867,0.0171604646835244,0.0116277903266668
7Networks_LH_Vis_18,0.0018402081431753,0.4224674971654434,0.5294935667041761,0.0,0.0991574366182549,0.0040171771117191,0.0,0.0420769243200236,0.0694946468598322,0.0278886818349002,0.0802296841998006,0.0141310856339118,0.0611987108630098,0.0040280302755876,0.0662031683425471,0.2067353824023693,0.0330131324118882,0.0231801065949221
7Networks_LH_Vis_19,0.0173518969586401,0.217551865935542,0.5882179798123383,0.0,0.0372836680491112,0.0,0.0,0.0422360199697017,0.0381422200382906,0.0081126569763843,0.1177885918491842,0.0,0.0489823713378925,0.0064103521527824,0.0401168778872793,0.2618167516693991,0.0223869037528591,0.0265751276650988
7Networks_LH_Vis_20,0.0,0.0288379672145048,0.0,0.616401594162628,0.180177655899214,0.280022477067409,0.0186753551968998,0.0,0.0050357256484151,0.0,0.0,0.0087905421891598,0.0,0.0,0.0,0.0886576796714498,0.0,0.0021783761317038
7Networks_LH_Vis_21,4.6059852311269095e-05,0.4124747194653234,0.5594645341107309,0.0,0.092073179198678,0.0033211347074735,0.0,0.0316971436928909,0.0318724656770068,0.0270126252922859,0.0795743861891977,0.0072907069776237,0.0577515017822265,0.0071878891950885,0.0642034008138062,0.098869596981132,0.0147447877123152,0.0287183011882951
7Networks_LH_Vis_22,0.0181261291413127,0.2773690055537467,0.5253268944361785,0.0,0.0135780645480195,0.0016322469483518,0.0,0.0487989984405603,0.0063861951645127,0.0309065660666636,0.0876457446263742,0.0040510279517077,0.0297268066979496,0.0002893947521660214,0.0,0.3029847217803554,0.0108348253621446,0.0162623263174514
7Networks_LH_Vis_23,0.1488129579911988,0.0728915310491793,0.1920622190535827,0.0,0.0700432689978256,0.0,0.0008161907741368967,0.0338713448947975,0.1228420427108368,0.0097876958655693,0.042594271117575,0.0436497431754531,0.0177078524680329,0.0151314874220327,0.2538869087688849,0.2754695076048173,0.0602451869926248,0.0584691833026697
7Networks_LH_Vis_24,0.0727495297412922,0.3410938606758907,0.5680905445262944,0.0,0.0382630587304734,0.0019669341421877,0.0,0.0296163341160214,0.0539785298273805,0.0224037449594274,0.0843492236090772,0.0031512836999655,0.0853173583812566,0.0175237285342316,0.0805318903198021,0.0510895327305081,0.0358464092688123,0.0131448512003721
7Networks_LH_Vis_25,0.0,0.2189163479886955,0.7069378915095059,0.0147784283383914,0.0512069522079946,0.0,0.0,0.0618348917678861,0.0076713242362771,0.0435082754961841,0.1358244846527865,0.0107028676223921,0.0318429218388356,0.0,0.0,0.1381937726007696,0.0046151308296311,0.0226937211582584
7Networks_LH_Vis_26,0.0057789773184822,0.086810101509365,0.4569338413933362,0.0,0.0913269160517157,0.0,0.0,0.049589174722324,0.0329405481153494,0.0258107149055118,0.048017556319189,0.0028507833545123,0.0471035685399136,0.0015294653970509,0.0560212254099833,0.440665319232055,0.0231501321743524,0.0193403770517353
7Networks_LH_Vis_27,0.1111567752176483,0.0975434837589094,0.1994264933726418,0.0,0.0434947884485063,0.0,0.0,0.0108465706518854,0.0447505135930407,0.007608676711971,0.0609094643063553,0.0,0.0760011846528912,0.0110063207911648,0.0639337277034185,0.7138214642146302,0.0301021663736681,0.0018742793920511
7Networks_LH_Vis_28,0.4515410996865105,0.0469530328720341,0.4277755842292355,0.0467107872777899,6.2154058877843e-06,0.0186955904869425,0.0317984484361803,0.0096539240177993,0.005093007256783,0.0040792460391131,0.0553649247407305,0.0136274808985461,0.0062946931337684,0.0021890692910342,0.0030088632808731,0.0386104485725537,0.0083065287723897,0.0031052474878179
7Networks_LH_Vis_29,0.076142438038512,0.2286074290073171,0.6063163007318012,0.0730029556546781,0.0231544689639339,0.0,0.0,0.0380599411374626,0.0202107211278636,0.0306672702486277,0.125332326079194,0.0033525497403472,0.0102887354538892,0.0,0.0,0.0,0.0017782069038344,0.0010460163558263
7Networks_LH_Vis_30,0.223839715019648,0.136414474525203,0.582232857797534,0.0,0.0,0.0,0.0,0.0117700199283127,0.0236009242566946,0.0296766558190362,0.1218964751428232,0.0394579311280241,0.0255341566693111,0.0067056969847371,0.0,0.0,0.0026853905764007,0.0430756455673239
7Networks_LH_Vis_31,0.1166303738235602,0.0938819119160593,0.4089810852216313,0.0,0.0298083578413468,0.0,0.0,0.0770336081215549,0.0543008414765118,0.0352596809826165,0.149547129338405,0.0195539994702676,0.0285202306725846,0.002935954146808,0.056608695666116,0.2138058914450908,0.0064772112504384,0.0303836045763106
7Networks_LH_SomMot_1,0.1840466802562227,0.2078153081983904,0.2196669796692463,0.1172019230634089,0.0496679243249501,0.0481305864965476,0.0192869774694534,0.0210597994569032,0.0053954854031243,0.0321471837533754,0.0469138993730502,0.021344191808012,0.0129011117809451,0.0018606064788553,0.0011217674908015,0.1844542478636673,0.007043109064755,0.0114591930599177
