label_7network,Lamp5,Pax6,Vip,Sncg,Lamp5 Lhx6,L5 ET,L5/6 NP,L6 CT,L6b,Astro,VLMC,Endo,Micro/PVM,Oligo,OPC,L2/3 IT,L6 IT Car3,L4 IT,L6 IT,L5 IT,Chandelier,Pvalb,Sst,Sst Chodl
7Networks_RH_Limbic_TempPole_1,0.0,0.0232741402899977,0.1139354959304222,0.037939968071718,0.0352792058596995,0.0025133589647555,0.0437785009056655,0.0236783212488769,0.0476154949229241,0.0368526741586324,0.0072790939966465,0.00129621695164,0.0598341716956278,0.0604532316520524,0.0167345375498432,0.12759338585194,0.0152601810733474,0.0,0.140569072439501,0.0461451127471973,0.1041507996021606,0.0,0.0436903153428856,0.0121267207444653
7Networks_RH_Limbic_TempPole_2,0.0158903296515859,0.0275544757321433,0.0687252805946254,0.031523215990515,0.0379772645356554,0.0018423339331577,0.0249241090909968,0.0294481711122364,0.0356792636078566,0.0692861208880997,0.0061098677323873,0.0012426447984288,0.0402756339170407,0.0773327328385131,0.0579196364333925,0.1312586599796608,0.0357760826807592,0.0332726039555917,0.0810649782979096,0.092909695668623,0.0289240439055372,0.0062199838927879,0.0553040708211458,0.0095387999413491
7Networks_RH_Limbic_TempPole_3,0.0,0.0114049481143956,0.0,0.1611107266871655,0.0,0.0,0.1126372617958023,0.0278981757730268,0.1095173424936292,0.0,0.0,0.0,0.0531254670933662,0.0251709664730633,0.0,0.0,0.1683187366200824,0.0,0.2339587804523384,0.0,0.0644998772910573,0.0,0.0054805720484831,0.0268771451575892
7Networks_RH_Limbic_TempPole_4,0.0193617155743183,0.0144166383839004,0.009544524575518,0.0578120919741487,0.03361683126328,0.04275553194018,0.0389478170843932,0.0076894187176757,0.0436683129633441,0.036288991100358,0.0034502140064216,0.0,0.0249112307139146,0.0519425501278251,0.0632449228711673,0.0823098967709518,0.0431678182238499,0.0132418001433008,0.2609647081454257,0.0791753285460305,0.0312764769610955,0.0,0.0323146208087988,0.0098985591041011
7Networks_RH_Limbic_TempPole_5,0.0,0.0506875012239843,0.1634356084470407,0.0089940047022473,0.0064133158983087,0.0672301316886187,0.0,0.0366974431852436,0.00020708095646804,0.0738549883801288,0.0,0.0067776100032419,0.0284478972910657,0.0590883036864824,0.0610617610879575,0.0644433283314242,0.0232958370480353,0.0,0.2549134155909937,0.0,0.0508987370350812,0.0,0.040676069392127,0.0028769660515503
7Networks_RH_Limbic_TempPole_6,0.0157360022028493,0.0340891722448813,0.1261301599680486,0.0330036151771451,0.0256330213763784,0.0,0.1188370046865952,0.0135850762765023,0.0,0.044111539229887,0.0016798914881006,0.0071739481443632,0.0805373796351968,0.0127428746746536,0.0341237096067545,0.0452352738827225,0.0500876452835136,0.0,0.1328894644045606,0.1121099737724989,0.030047571547348,0.001053693166021,0.0527995710695689,0.0283934121624093
7Networks_RH_Limbic_TempPole_7,0.0612611899211382,0.0,0.0943793101678244,0.100644241824939,0.0256182303118321,0.0181454653519595,0.0235968596947177,0.0,0.0396434253938675,0.0,0.0052519228429082,0.0082892043821232,0.055135870527825,0.0542332970162342,0.0,0.0,0.0648647069638342,0.1048252423066356,0.1076948960161016,0.0,0.2137208888062883,0.0,0.0138869952382642,0.0088082532335065
7Networks_RH_Cont_Par_1,0.0199921083036518,0.0,0.0305149722531615,0.0350542910384194,0.0470440213088321,0.0525317454101868,0.122443542288778,0.0181699982214835,0.0314583651474957,0.0254593963819042,0.00099942011776105,0.0103968628871434,0.0395467075922941,0.0147108214008913,0.0,0.0517866845399692,0.0669200599963445,0.1109535994320735,0.0780721095228873,0.1231097675663948,0.0,0.0722125377185893,0.0486229888717377,0.0
7Networks_RH_Cont_Par_2,0.015477691929283631,0.03214018671155678,0.06158343923881318,0.018249165896255158,0.01370623437291573,0.052730653589601356,0.035982448617174076,0.013790349060418823,0.020264737966982214,0.05838018615883589,0.005744533252447054,0.004099011862212993,0.023926804072041157,0.014788387860658392,0.07773025867824418,0.20765757279096841,0.007954513566207785,0.05814546580028934,0.05813725895498051,0.13068357549245,0.03079624450584543,0.03426909066541667,0.018261962625579727,0.005500226330820559
7Networks_RH_Cont_Par_3,0.0,0.0975443057875828,0.0,0.0,0.0072803957580568,0.1003627112868116,0.0185199492431769,0.0,0.0,0.0,0.0,0.0,0.0287400697683836,0.0,0.2739172556691064,0.2294777437842312,0.0,0.0,0.0,0.2109941429246736,0.0,0.0331634257779766,0.0,0.0
