,ADAR,ADFL,ADLL,ADLR,AFDL,AFDR,AIBL,AIBR,AIML,AIMR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,ALA,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVFL,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,AWAL,AWAR,AWBL,AWBR,BAGL,BAGR,FLPL,FLPR,OLLL,OLLR,RIAL,RIAR,RIBL,RIBR,RICL,RICR,RID,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIR,RIS,RIVL,RIVR,RMFL,RMFR,RMGL,RMGR,URBL,URBR,URXL,URXR
AWBL,0,5348880,3016560,0,241920,0,88800,213120,895920,0,0,0,1170960,0,3439200,75360,0,0,1856880,0,9840,0,2152320,20640,295440,0,31440,0,18000,0,522000,1680,91920,0,26400,0,0,0,0,0,6720,0,3264240,0,0,0,0,0,6243120,0,0,88320,0,0,0,0,0,0,127200,0,729120,0,0,0,0,0,110160,0,0,0,0,0,648720,0,0,0,39600,0,487920,0,0,0,209520,0
AWBR,167760,167760,0,2113920,0,993120,0,372720,0,595440,24720,0,68160,712800,0,2492160,0,0,0,1161360,0,0,0,1021200,0,752880,0,127200,0,0,0,1676400,0,173520,0,0,0,0,0,0,222720,3414240,0,0,0,0,0,0,0,6596880,88320,0,0,0,0,0,0,0,0,448080,0,1334640,0,0,0,266160,0,211920,19200,0,8400,0,232080,0,0,0,0,8880,0,92640,0,0,0,267840
BAGL,0,0,0,0,0,2106000,1104960,46800,0,0,3313920,479040,303120,2652960,25680,733440,0,1139760,943680,289920,0,22080,0,0,0,0,0,0,0,0,344160,1228560,957600,1120320,60720,620640,1068240,918240,21840,2417040,0,0,0,0,0,0,0,0,0,0,0,0,0,5107200,0,0,27120,0,0,4766880,2113920,5472240,0,0,1817520,0,2880,2959200,557760,31440,12000,0,1000320,0,116880,209040,2055600,510240,0,0,0,0,0,127680
BAGR,0,90000,0,0,2085600,0,225360,814800,0,0,0,4688400,3177840,484560,781920,0,0,3126240,699840,844080,3120,0,0,0,83760,0,0,0,0,0,1535520,92400,2137440,340080,0,793440,1301520,1278240,3275280,0,0,0,0,0,0,0,0,0,0,0,0,0,5107200,0,0,0,0,31680,5032560,0,5311920,1835520,0,0,3284640,0,3466320,0,220080,66960,0,0,1751760,32160,102240,131040,1131600,711120,0,0,0,0,680640,0
FLPL,12480,0,0,0,0,0,319440,556320,0,0,0,0,0,13680,0,0,0,37680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252320,3108720,354960,234000,992880,0,454560,202800,0,240000,0,353520,85680,0,3360,0,0,0,0,0,0,0,0,1677840,0,0,0,0,0,0,0,0,0,0,232320,0,3894240,0,37680,0,0,799200,62880,98880,352080,0,0,0,0,0,0,0
FLPR,650160,0,0,0,0,0,684960,0,0,131040,0,0,0,110640,0,0,0,77280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2538480,232560,141600,0,210240,0,592080,0,0,0,0,417120,0,23760,0,0,0,0,0,0,0,0,1677840,0,0,0,0,132720,0,0,0,0,0,272880,0,0,3601440,0,68880,0,0,1298400,0,0,0,10320,0,0,0,0,0,0
OLLL,0,0,182160,0,28560,0,10800,0,0,0,0,63360,0,0,0,0,51360,0,12240,134400,0,0,0,0,111120,0,31920,0,88320,0,27120,0,0,0,0,0,397200,0,0,6230880,144480,0,0,0,0,0,0,135360,0,0,0,0,27120,0,0,0,0,666720,95520,11280,4079280,0,0,0,7680,0,1421040,0,0,227280,13920,0,0,442080,61440,0,968640,5760,235200,0,993840,0,113040,0
OLLR,0,0,0,110160,0,6720,74160,11280,0,0,80160,0,0,0,0,0,62160,0,93600,50640,0,0,0,0,0,225600,0,57120,0,67200,0,0,0,480,0,0,0,114720,4811040,0,0,0,0,0,63360,0,125760,106080,0,3840,0,0,0,31680,0,0,666720,0,0,34320,0,2511360,0,0,0,0,0,716160,0,0,105600,0,0,0,0,0,0,582000,0,172560,0,1390800,0,211440
RIAL,0,2243520,0,0,14400,0,0,268800,0,0,0,374880,261600,0,5547360,0,0,1331520,0,136320,0,0,89760,0,51120,0,0,0,0,0,2589360,0,1514160,174240,0,0,0,0,0,102720,0,0,156960,0,0,0,0,0,0,0,127200,0,0,5032560,0,0,95520,0,0,15303840,2033760,0,0,0,0,0,1248000,0,1944240,892800,0,0,1890720,0,1412640,620880,420480,151680,5040,187680,0,0,3482400,0
RIAR,348720,0,0,0,0,13920,123120,0,0,0,292800,41760,437520,2449680,748320,5449200,0,441120,139680,0,0,0,0,122160,0,0,0,0,0,0,0,2522880,847200,630480,162960,0,0,0,403200,0,0,0,0,0,0,96240,0,0,0,0,0,448080,4766880,0,0,132720,11280,34320,15303840,0,0,2068320,0,0,0,60000,0,868320,5303520,0,2340960,0,414000,0,568320,1981200,0,633600,160080,0,0,6240,0,4327200
RIBL,0,809760,0,0,135360,0,71520,2577600,0,0,1256160,4254000,4065360,0,3899760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8285760,280080,1296240,171120,591360,568080,0,0,1237920,3041760,0,0,0,0,0,252720,0,889200,16080,0,729120,0,2113920,5311920,0,0,4079280,0,2033760,0,0,214080,0,0,695520,0,1116000,0,1176480,3222720,982560,0,0,6727920,191760,0,6480,56880,0,0,9120,0,415200,0
RIBR,0,5760,0,0,0,0,1874880,114000,0,0,2990160,1817520,66960,4236720,36240,3017040,0,0,21360,0,0,0,0,0,0,269760,0,46080,0,0,92640,8130000,0,1009200,246960,353520,0,0,2755200,822720,0,0,0,0,0,0,133440,1229760,0,20640,0,1334640,5472240,1835520,0,0,0,2511360,0,2068320,214080,0,0,0,925920,0,0,900720,1269120,342000,2317440,0,0,5714640,0,186960,47760,3840,0,34320,0,0,0,611760
RICL,2300160,0,0,7440,0,0,0,175680,984000,0,0,0,0,0,779040,0,0,518880,6720,56880,737280,0,101280,79920,11040,0,0,0,0,0,0,0,2829600,1114080,232320,71520,157920,487200,1440,0,4320,443760,31920,375120,15120,368400,474000,17760,62160,14640,0,0,0,0,0,0,0,0,0,0,0,0,0,6523200,869520,0,0,0,0,783120,1024080,18240,0,595680,1210320,2217600,72960,0,1902480,184560,2032800,1348080,1258800,930720
RICR,1224960,0,0,0,0,0,0,0,0,350400,0,0,0,0,0,151200,0,5520,0,0,0,577440,0,533520,0,0,0,0,0,0,0,0,1001520,3009120,1332240,908880,1337520,74880,0,0,0,0,0,524640,533520,156000,125280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6523200,0,743520,0,0,0,0,0,754560,0,0,198720,1199760,519840,0,101040,390240,1180560,2922960,2121360,852240,2238960
RID,0,0,0,0,617280,580560,0,315600,0,0,4054320,4401120,0,0,167040,0,0,450480,7680,3840,101520,0,1040640,0,0,15600,0,0,0,0,113760,0,1496640,0,835920,2646960,1810560,4142640,66240,0,508080,0,0,0,1121520,0,0,0,0,0,0,0,1817520,3284640,0,0,7680,0,0,0,695520,925920,869520,743520,0,0,2517360,441840,0,406080,0,5520,0,0,422160,179280,0,0,496320,0,661680,0,0,0
RIFR,491280,6240,0,555120,0,0,0,592080,0,1379760,0,0,0,149040,4320,36960,0,0,0,258960,0,0,1920,4928400,0,0,0,35280,0,1046160,0,0,0,0,0,3069600,0,57600,0,95040,1914000,1097520,669840,2131200,36720,0,0,0,0,1224240,0,266160,0,0,0,272880,0,0,0,60000,0,0,0,0,0,0,0,0,0,0,3681840,0,0,0,0,0,0,0,0,708000,0,0,0,248880
RIGL,0,377040,0,0,0,0,139920,3564480,237840,0,1440,0,0,0,2868480,265200,0,389040,0,0,0,0,8880,0,0,0,0,0,0,0,122160,0,42960,1523760,0,2009040,153360,1838160,1542720,1211760,0,0,996240,0,0,1144560,5523360,18720,0,0,110160,0,2880,3466320,232320,0,1421040,0,1248000,0,1116000,0,0,0,2517360,0,0,1622880,404880,1130400,208800,0,2728320,0,0,1839120,7102800,2122800,296880,0,0,0,2390880,0
