,ADAR,ADFL,ADLL,ADLR,AFDL,AFDR,AIBL,AIBR,AIML,AIMR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,ALA,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVFL,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,AWAL,AWAR,AWBL,AWBR,BAGL,BAGR,FLPL,FLPR,OLLL,OLLR,RIAL,RIAR,RIBL,RIBR,RICL,RICR,RID,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIR,RIS,RIVL,RIVR,RMFL,RMFR,RMGL,RMGR,URBL,URBR,URXL,URXR
AINL,0.0491459602399191,0.0352682188566764,0.0043984055938511,0.0435707360600402,0.0451640379892682,,,,0.0991875929658203,0.0405569751174865,0.513594399323605,0.0242497857828555,,0.0045397249176727,-0.0420366466968649,0.0112932538359152,0.0109051073264865,0.0005923488937385,-0.0157840586072767,0.0373342207183228,-0.0140310477934414,0.0231559330873813,0.0365035752302733,-0.0305006560050732,0.0368576412866107,0.165068996625261,0.0128443948198396,-0.0284514830755162,0.0904829481631443,-0.0489158637218167,0.0236848834705089,,-0.0352591159775276,,,0.0261919460631296,0.486140050540026,0.0974033002386856,-0.0170487430017854,0.005505380900573,,-0.111350939556341,0.0779744167669703,0.380116011075999,0.122152556292622,-0.103033256892761,-0.0133749603004505,,-0.0069380891003028,-0.0458637643406191,0.0219292809609164,-0.018514391701319,-0.0241205353109526,0.0052588989935493,0.0131565055908093,0.21754536263092,-0.0040651081154712,-0.0432689924362423,0.0218632189097863,0.0653131139137378,0.0102287389476128,0.0220730018411447,-0.0196443274046758,-0.0111740253673519,0.0683591360016083,0.010640758355732,0.0844544722628053,-0.0102351867154193,-0.0809188772090633,0.0067790310448483,0.0325024070662438,0.0131571856072926,0.0865964323422895,0.0132977340038332,-0.0056584268074077,0.0491481558361293,0.024560674743676,0.0290285173292305,-0.0027479510138798,,0.035127036627857,0.0113138709381154,-0.0271544643756878,-0.0121458932233141
AINR,-0.0689784768586414,,,0.0305849968808393,-0.0014921182549896,,0.0119458887257515,,0.0368663249966801,0.0155589013045084,0.0714298865018381,0.243542719409147,0.0264634978771456,,0.134548067186275,-0.0252344716644226,-0.0092658275643222,0.0380351200572993,0.0993749674588253,0.0683090437605189,0.10871787815548,-0.0239276657252636,0.0482393601834674,-0.0445224663344377,0.0630480552426823,0.110502615586521,0.088384175866222,,0.0324367320057186,,-0.0031110942705951,-0.0186832997604187,-0.0296418979952863,,,0.131302899120389,0.20468315045289,0.224854481339756,0.0124501962574615,0.134702049627537,-0.212943221867754,-0.0287524086481149,0.532287733422993,0.087248364454187,0.24269645076199,-0.027216409817567,0.0463442245617351,-0.0996474236406118,,-0.0208865494084834,0.0169606058926241,-0.0195196392762834,0.0643078719623124,-0.0183306376327201,-0.0046427614061097,0.135217653580525,0.0140465052223057,0.0316887218409723,0.152352681723754,0.0651153058969938,-0.0067752445199303,0.958037078726364,-0.007803778640799,0.0871245048176156,0.0562953853193819,-0.0159319146842102,0.147797218469738,-0.0599803116714407,-0.0003563251669425,0.125660408195874,-0.0012891943758832,,0.201473920134265,-0.0704222639529206,0.143052239388057,0.228406613479188,0.0248984062182928,0.053163511284828,,-0.0636585212827293,-0.0011119458970304,-0.0171701683045328,-0.0112388686709904,-0.0002630685460594
AIYL,0.0697705081313763,0.0347618096296375,,0.025171225519186,0.0275549259166077,,,,0.163054032873613,0.0912778313276072,0.0059711974459694,-0.047471225869335,0.393598609027544,0.0226572722213758,0.273716268390923,0.0791272701021271,,0.0043050155817655,0.0121263851353191,-0.0752206372593029,0.0078644971655071,,-0.0337826302291973,0.0490404939645985,0.0096865651408125,0.0170614099911324,-0.0099191535163575,0.206263882268927,0.0747158182184055,,0.0737836729744007,-0.0529319999149423,-0.0331146944827821,-0.030008779808639,-0.0169997757709566,0.0239945835851005,0.0289356461004385,0.0957611646072723,0.0509093723701806,0.0297650429071329,-0.057698039304161,0.0785694675558816,0.0032668688614303,-0.0087392947557979,0.0329663679046191,0.0196177832881758,-0.0238659625734499,0.0267206991820677,0.0522459638825838,0.0343401952607265,0.0335921594767127,-0.001653054720833,-0.0082017666927121,,-0.0817416279727596,-0.0099278939542368,0.0164885659264857,0.0057860874256941,0.0150165503590979,-0.0103334470750736,-0.0573253049611431,0.0170800282061595,0.0611191140576996,0.0499318339811778,-0.0978127988689274,0.0379318390377,0.0130135779742486,0.0285013326054921,0.140201113597282,0.169823731820858,0.0211384809681034,-0.130739710057515,0.0378470427677674,-0.0405348820785432,-0.0203914920933096,-0.0007040861301068,-0.129425463825345,-0.0074823018987165,-0.0145456813730853,,-0.0006576763854563,0.000443015897789,0.0220985403341452,0.0326759746890127
AIYR,-0.0204727348477919,-0.139256420247956,,-0.133667853566452,-0.0090072287624291,,,,-0.0954731794517402,0.311731177337034,-0.0125338285123351,,0.404472483651945,0.475899009491791,0.0574898181447829,0.0008853713211979,-0.0351549246291418,0.0454206847755702,,0.0396719694324729,-0.0290096040505996,,,,-0.0618210692981265,-0.050073293158072,0.135213999655679,,,,,,-0.0421590375364517,,-0.0128373683921849,,0.043193728733075,0.0115642573604915,0.0123367136147961,-0.0013978879424869,-0.14548564308577,-0.0025860648001758,,-0.0436948881215515,0.0248226214242969,-0.0018497743515061,0.0273270209026526,,0.017493074138341,,-0.0071989841270728,0.0104788478752644,-0.0023512876616789,,-0.0249124641331195,0.076182762495299,0.0142448488681971,,-0.0894674154670302,-0.0060411156744089,-0.0115296618459386,0.37799121111353,0.0008635532517461,0.0106917286892911,-0.0326558749548184,,0.0702833779320269,-0.010846634296813,-0.0353612234805668,0.0919768275383169,0.0503334617771874,0.130655594816073,0.261472134742436,-0.0980600551607378,-0.0229757209981372,0.0491098683883563,,0.193401280999448,,,0.037351923030691,,-0.0337727043507418,-0.0128829805488178
AIZL,0.0361074666423989,0.0533171069764926,0.0584559761297478,0.0590945040952287,-0.0370975563134902,-0.0486138394054436,,,0.290470875213755,0.265826150553622,0.0278429715787387,-0.0164704472750442,,-0.0357736371160142,0.918866759432744,0.445994955476433,-0.0621282095063277,-0.0705704427114218,0.0701367193718416,0.0904199748589254,0.0003891549515148,-0.0072402526087399,0.0098305699964052,-0.0068160960516176,0.0369195079595653,0.0130197993972643,0.0262292253703402,,0.0766042503616939,-0.27683699204746,0.112860228705694,-0.0031977330150239,0.0001768830190926,-0.0285733652796988,-0.0646796990197952,0.155270784564216,-0.0022144389373344,-0.0445453351694137,0.138282498318524,0.0616722519244204,,-0.0138073863403965,,0.0173936108250486,0.3476835933095,-0.0216238799352382,0.126226307237242,,0.162248142427278,0.0115719101523031,0.051118499243688,0.0251886151705827,0.0706632055213475,-0.0075007590961019,0.0233590572639173,0.0739567689258604,0.11734995711818,-0.002494746407434,0.0049584716597384,0.038951903088557,0.0019334215689127,-0.0511503272499474,,0.0008034954444002,-0.0140827906249915,0.111046651157534,0.0306965039815183,0.0377843715229275,0.0135889325365726,0.0181658311717421,0.0102136850997609,0.0041248697069347,,,-0.0128781215778875,0.0662607784750483,0.235505555171989,0.133819638385476,0.280851834655572,0.007895688682731,-0.0550274027430685,0.0499235657088791,0.0164366195714142,0.0178887061232706
AIZR,0.171828969241976,-0.0631151969273195,0.269219864926523,0.0502754479333924,,-0.0114142462378612,,,,0.316297425105218,0.0301911929285069,0.0204283358449153,,0.234285722520721,0.162712344821466,0.58908805653345,,0.0588159542108374,0.0228508014383447,0.0551204929172,0.0070798899434436,0.0233586954010493,-0.0116624876376905,-0.0058573491643643,0.0592617488966788,0.0209429914482824,-0.0119620122440886,,-0.0169898131686192,-0.149152574703722,0.0121710658603088,0.11654573849689,0.0212964992211698,0.0492073294588146,,-0.0013901537401613,0.0322442614205506,-0.0238610329645862,0.0366708958417818,-0.0089983604356139,,-0.0077210145908462,0.0230103394487736,-0.0247253109265682,0.213463652673403,0.0539882678141894,0.0468018581181175,,0.0201455255209982,0.0020887094102925,-0.0006027345302763,0.0307285372731844,-0.0038165427477172,-0.147868993952017,-0.028267928790678,0.0040736776836443,-0.006897457862159,0.0096192329865077,,-0.0142372209784821,-0.0013093640739823,,,0.028952779839991,0.0138161481463452,0.139304305701352,0.0512049549505043,0.0699911827059563,-0.0035155125824427,0.115454435728005,0.030758156504088,0.0011670606515841,,-0.0037978143396353,0.003673508179164,-0.0020482492868112,,0.020087136564718,0.140072004492651,0.0667934598645253,0.0329498115055509,-0.0036352295647898,-0.049936340266773,0.0322189061392562
ALA,0.0557404039263682,,0.0766697158017202,-0.0857297677279528,0.0155415664881478,,,,0.0695139259104547,-0.0144932176106828,,0.0395697502380654,-0.0031462551301585,0.0465920456454702,,0.066469682407543,0.490600171449687,0.0452762053716091,0.0281922328973591,0.0834813955452676,-0.0776209871991846,-0.0255238079709709,-0.0350445096306839,,,,-0.0643129447594,-0.0175134258954758,0.0255260596514476,,-0.00329882444307,,,0.277624470771448,,0.0297161642530371,,-0.0058149747996367,0.0382828866742798,-0.0390667880980353,,0.137845953627411,,0.105931632400527,0.110847251502199,-0.0337677334950149,-0.0900076407513668,,-0.0036104475538602,0.0611789257154931,0.035541929055481,0.0627220928866468,0.0117516842155184,-0.0307188141394128,-0.047766703120145,0.0053232896738829,0.0289729604782125,-0.0081941647009167,0.339715471425794,0.0074251837226608,,0.0065639626989125,-0.0325349589871181,-0.037513363931499,,,-0.042121688998753,0.0092126247640275,0.219289301316727,,0.0536628773550394,,0.0457415802549105,,0.0037634746537569,-0.0822818935349832,,,0.0624590936437605,,-0.0088471250811816,,0.202992385933358,0.358937629450649
AQR,0.140619207330794,0.0618540861467846,-0.0207542676419768,0.0489447917238516,0.0460463434058514,0.0691873998188363,0.120148620972708,-0.0329348059310305,0.0581437918909793,0.148706623250845,-0.0230787970894098,-0.0067926745096444,0.156101220185131,0.045054232397798,0.129004069731822,0.225991201272442,-0.0169374188204168,0.710528228534201,0.0507273927493903,0.0418662109623017,-0.0108466215905459,0.0399574366152027,-0.0053115992718539,0.0328013335321586,0.0016300643904274,0.0237561725502482,0.048608040746307,0.0137674108644802,-0.0187598850104705,0.0555310612000023,0.151849779109266,0.18809775490403,-0.0058058573779764,-0.0111943899427923,,-0.0154506010349856,0.0496444486705993,0.0691534129651801,0.0033367970572994,0.0231297636198878,-0.0290174420855321,0.0623280610315003,0.10878556400786,0.0428307001360729,0.0782194950995254,0.279470854497954,-0.0157230902631496,0.0201456231501863,0.005174125006616,0.0442247503123007,0.0136211257465898,-0.0021928838481357,-0.019149648804972,0.0096645885420363,0.0434592117585545,0.206825709734424,-0.0037097605505699,5.3e-05,0.0637759162300219,0.0292598125078003,0.0782610051706952,0.394469194049506,0.0584887851479311,0.0692990883283157,0.0752409720785139,,0.0320189756738766,0.0054763417992159,0.0268741730671399,0.0713608786621443,0.140776572992676,0.0094623401162174,-0.0036228924762304,0.0269251652293651,0.0023900096215352,0.0340940337294392,0.0942079341356548,0.0756870955345434,0.144589997303234,-0.0247623596573594,0.0070402920183796,-0.0083444763003134,0.0204214807659384,0.0015474038268531
ASEL,-0.0106751153550327,-0.479748192630063,-0.0923068557394609,0.0446577691208955,0.12177683913278,,,0.0515124078804091,-0.0100922635619104,0.0102688185200474,0.0897504838935402,0.0175107681257648,-0.0370960316887429,-0.0123650501393782,0.0391661239382702,-0.0036868908546189,0.0456672613479716,0.0325016180816416,0.173262922341028,0.275503833442777,0.202250837951762,0.0794676940510836,0.208043023687934,-0.0475725104689716,0.0470926340422834,0.0164480795993399,0.0401073861560532,0.103328884587701,0.0086744894021084,,0.0255273816490704,0.0844534141084572,0.0208957393532159,0.0646300057979193,0.178210397218318,0.0059040045009472,0.268148189476159,0.0573846729041521,-0.0148765979890552,0.100603662159623,,0.219337617552683,0.0590925410446413,0.0535639655021214,0.0830773768289153,-0.0901627444690531,0.0354174603312812,0.0011582251358017,0.16539619800755,0.0198809590820582,0.223127176785745,0.102266097723808,0.0038032563792534,,0.0055560335345855,-0.0016328456066347,0.0336351216986667,-0.0205703669114122,0.0815378364419749,0.0190532145324574,0.295643161534372,0.205842607993502,0.0710156075052464,0.0443177287201355,0.0020436417800365,0.0389415470393886,-0.0349261170369945,0.0081468314290899,-0.0001820198858929,0.0800661224707768,0.0294639808411057,-0.0665060244033193,,0.0548119150463351,-0.0602449562587953,0.0144573506909829,0.0781632812674426,0.113842184752242,0.0308007893331007,,-0.0230050695054301,0.0121460011752095,0.0444264418023373,-0.0114380404298445
ASER,0.004781073199702,-0.0295570506883515,0.196432946284545,0.191139943438487,0.0103093523726419,,,,0.0085812668279522,-0.0420525572978791,0.017738511668859,-0.0419986340321218,0.0424748036312021,0.0575362444051521,0.0164995582749057,0.0181290891427355,-0.0092637482569018,0.0098629413629583,0.0798068298412004,0.417973036418951,-0.0212178749908432,-0.0328037467164249,0.112648046903736,0.243872968141304,0.0656042721519932,0.262000748141061,0.0096099633372163,0.281791142923988,0.0866120904468146,,0.0704141269687342,-0.0037464059280915,-0.0095552119300778,0.0930479397175664,,0.125088435288332,0.0172272245955151,0.0839003968340758,0.033554159608296,0.0689959037548445,0.0258275625197587,0.063210587957579,0.593874480387904,-0.0047045945720408,0.130458121349015,-0.101463340392798,0.223496429150316,,0.110166290017722,0.194213760714787,0.076323196647737,0.0807893449229999,0.104653598837876,0.0169589214942289,-0.0489643362288875,0.0058669229143982,0.0779107029433708,0.0919381696785841,0.15605043705004,0.139832961534888,,-0.0274525505520377,-0.056379590376682,0.0016790736753313,-0.0014471856126455,,0.20064372865891,-0.0301330706122489,-0.0588204319806366,0.0398366949859216,0.056291124780868,0.245617118419856,0.256873468346879,0.0112066444660727,-0.0160543992376689,0.048256397342019,0.0016745775067057,0.176751705326047,0.0412511680044049,-0.0250438267852972,0.0339560017899621,0.0459845469821448,-0.041535865622944,-0.0154755733187745
