source_index,target_index
325,539
325,655
326,538
327,582
328,644
328,653
329,558
330,607
330,665
331,557
331,668
332,562
332,571
332,599
332,725
333,627
333,659
334,540
334,546
334,638
335,592
335,637
335,663
336,573
336,585
337,545
337,619
338,542
339,603
339,626
339,633
340,555
340,586
340,652
341,570
341,604
342,544
342,560
343,559
343,642
344,584
344,645
345,543
346,553
346,587
347,579
347,666
348,554
348,622
349,615
349,632
350,612
351,552
351,596
351,634
352,551
353,598
354,577
354,623
354,656
355,568
356,621
356,650
357,572
357,609
358,624
358,630
359,641
359,646
360,590
360,628
360,664
361,677
361,684
362,676
362,678
362,681
363,682
364,672
364,685
365,674
365,680
366,41
366,673
366,679
367,675
368,697
368,700
368,713
369,620
369,708
369,716
369,726
370,695
371,712
372,698
373,686
374,687
374,709
375,714
375,723
375,727
376,683
376,715
376,720
377,688
377,722
378,692
379,701
379,721
380,696
380,728
381,711
382,706
383,705
383,717
384,689
384,702
384,724
385,690
385,707
386,694
386,704
387,691
387,710
388,693
388,719
389,718
390,699
390,703
