"Name","Runtime","Hostname","Notes","GPU Type","Tags","config.epochs","config.input_dim","config.lambda_reg","config.learning_rate","config.reduced_dim","final_test_metrics.geodesic_distance","final_test_metrics.mae","final_test_metrics.mse","final_test_metrics.pearson_corr","final_test_metrics.r2","final_train_metrics.geodesic_distance","final_train_metrics.mae","final_train_metrics.mse","final_train_metrics.pearson_corr","final_train_metrics.r2","test_mse_loss","test_pearson","train_mse_loss","train_pearson"
"xgboost_transcriptome_FC_spatial_fold2_final_eval","1","ga006.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_left, model_xgboost, omit_subcortical_False, outerfold_2, parcellation_S400, split_spatial1, target_FC","","","","0.1","","12.583856750023848","0.15948169866459688","0.0472738836175141","0.6281165755095126","0.32106075196305184","11.82963032350434","0.033780374882684386","0.0021081155966059823","0.973587591211888","0.937178874402814","","","",""
"dynamic_mlp_transcriptome_FC_spatial_fold0_final_eval","1","gh005.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_0, parcellation_S100, split_spatial1, target_FC","150","21520","","0.00009","","5.654675766093581","0.16996002876441663","0.04689057121380681","0.627033609940646","-2.9375429104853508","12.185708789409832","0.1079637333921072","0.02398656822898363","0.5660377600427082","-0.4644745953832521","0.012961490079760551","0.6160537004470825","0.014593618735671044","0.22760402460892995"
"dynamic_mlp_euclidean_SC_spatial_fold0_final_eval","5","ga043.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_spatial, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_left, model_dynamic_mlp, omit_subcortical_False, outerfold_0, parcellation_S400, split_spatial1, target_SC","150","6","","0.00009","","8.487251550999646","0.9177856552272668","2.6093970763088667","0.6249574822761961","0.35426998440169144","14.272874445244655","0.5771442023220166","1.4355383855968415","0.7994366559891936","0.6127647566577419","0.08816272088072517","0.6242803010073575","0.0630673733309354","0.7480772893027504"
"dynamic_mlp_euclidean_FC_spatial_fold0_final_eval","1","ga043.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_spatial, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_left, model_dynamic_mlp, omit_subcortical_False, outerfold_0, parcellation_S400, split_spatial1, target_FC","100","6","","0.0001","","10.03489788735618","0.12934049856168148","0.030124458707336668","0.6225762911697247","0.2905852124509479","15.838626564647257","0.09448567716005364","0.01897102484171072","0.7153649047659482","0.4979650009169824","0.008874138817191124","0.6248950858910879","0.006844020421233247","0.6399699379416073"
"xgboost_euclidean_SC_spatial_fold3_final_eval","1","ga006.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_spatial, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_xgboost, omit_subcortical_False, outerfold_3, parcellation_S100, split_spatial42, target_SC","","","","0.3","","6.235380330156254","2.5374347331651053","9.86154794912832","0.6165115895863115","0.30663328964843994","11.780429554773203","1.5260967335613858","3.874980164171771","0.8014236675473131","0.6377095010160388","","","",""
"xgboost_transcriptome_FC_spatial_fold2_final_eval","1","gh003.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_left, model_xgboost, omit_subcortical_False, outerfold_2, parcellation_S400, split_spatial1, target_FC","","","","0.01","","15.358827434278489","0.18180781904372809","0.05952053892556262","0.6159369431135159","0.1451764304402543","23.224900135349287","0.10777279353991231","0.02230396582281764","0.7182544307613287","0.33534942745720087","","","",""
"bilinear_lowrank_transcriptome_FC_spatial_fold2_final_eval","0","gv006.hpc.nyu.edu","-","Tesla V100-PCIE-32GB","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_left, model_bilinear_lowrank, omit_subcortical_False, outerfold_2, parcellation_S400, split_spatial1, target_FC","150","7380","0.01","0.0005","5","12.172586767189678","0.1596611346510869","0.047963223064308794","0.6092204448237057","0.3111605793976737","17.44385891139396","0.08090518310861654","0.012746626012606656","0.798941530872138","0.6201548933239136","0.059175520119341934","0.6103520339185541","0.02423112658728467","0.7997292929356641"
"xgboost_transcriptome_FC_spatial_fold3_final_eval","1","gh003.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_xgboost, omit_subcortical_False, outerfold_3, parcellation_S100, split_spatial1, target_FC","","","","0.01","","4.504541435101476","0.08444914691050395","0.013792015175860936","0.6085921647825725","0.2534047017372798","8.79130374025736","0.061060484095606334","0.007554906201100189","0.720778676115533","0.4920247598449467","","","",""
"shared_linear_encoder_transcriptome_FC_spatial_fold3_final_eval","1","gv006.hpc.nyu.edu","-","Tesla V100-PCIE-32GB","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_shared_linear_encoder, omit_subcortical_False, outerfold_3, parcellation_S100, split_spatial1, target_FC","125","21520","0.0001","0.0001","","5.546483749087751","0.08668402121910965","0.01258528118928622","0.6063052701528205","0.31872814498633883","6.679903623912036","0.06074811108569847","0.005358640521364141","0.8824058795123941","0.6396968230594118","0.013662877625652724","0.6029066911765507","0.0055158202959732575","0.845551201430234"
"dynamic_mlp_transcriptome_FC_spatial_fold3_final_eval","1","gh010.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_3, parcellation_S100, split_spatial1, target_FC","150","21520","","0.0001","","4.753336806960785","0.08137176794315511","0.011965237974975056","0.6029703782060857","0.3522925909807597","7.5556112198429295","0.026104444828437927","0.001679902105969001","0.9455022892477144","0.8870470852977217","0.004497215733863413","0.6229262948036194","0.0034479714730488403","0.6340025908180645"
